question,opt_1,opt_2,opt_3,opt_4,correct_answer,explanation
How much of sunlight is light?,33%,63%,43%,93%,43%,"What we call “sunlight” is actually a mixture of visible light, infrared radiation (heat), and ultraviolet radiation. When light leaves the Sun, the mixture is about 43 percent visible, 49 percent infrared, and 7 percent ultraviolet. But after the sunlight interacts with our atmosphere, which reflects some and absorbs some, what reaches the surface has a larger percentage of visible light. The amount of infrared stays roughly the same, while the amount of ultraviolet light decreases slightly."
Which planet in our solar system is hottest?,Venus,Mercury,Earth,Mars,Venus,"Although Venus lies 90 percent farther from the Sun than Mercury, Venus is the hottest planet in our solar system. The reason is the thick layer of carbon dioxide clouds, which create a planetwide greenhouse effect. Venus’ surface temperature is an astounding 867 degrees Fahrenheit (464 degrees Celsius) — hot enough to melt both tin and lead."
What is absolute zero?,The temperature at the center of the Sun,The freezing point of water in Fahrenheit,A temperature scientists use in theoretical physics only,The temperature where all molecular motion stops,The temperature where all molecular motion stops,"It is the coldest temperature possible. It’s 0 on the Kelvin scale, –459.67 degrees on the Fahrenheit scale, and –273.15 degrees on the Celsius scale. In 2021, a research team set the record for the coldest temperature achieved: 38 picokelvins (0.000000000038 K). For reference, the background temperature of the universe is approximately 2.7 K."
Which naked-eye star is the brightest?,Eta Carinae,Sirius,The Sun,Polaris,Eta Carinae,"You might want to say the Sun. But that’s just because of proximity. If all stars visible to just our eyes were placed at the same distance (which astronomers have set at 32.6 light-years), the brightest would be Eta Carinae, a variable star that usually glows around magnitude 4.5. It would shine at magnitude –8.6, some 230,000 times as bright as our Sun at that same distance."
How close is the nearest galaxy to Earth?,"250,000 light-years",2.5 million light-years,"25,000 light-years","2,500 light-years","25,000 light-years","If the Canis Major Dwarf Galaxy, discovered in 2003, turns out to be a true galaxy that is being torn apart by its interaction with the Milky Way, it is closest at 25,000 light-years away. If it isn’t a galaxy, then the Sagittarius Dwarf Elliptical Galaxy, which lies some 78,000 light-years away, is closest."
What would a 150-pound person weigh on Mars?,354 pounds,14.6 pounds,24.9 pounds,56.6 pounds,56.6 pounds,"If your scale reads 150 pounds (68 kilograms) on Earth, it would say 24.9 pounds (11.3 kg) on the Moon and 56.5 pounds (25.6 kg) on Mars. Jupiter doesn’t have a solid surface, but at its cloud tops, your weight would read 354 pounds (160.6 kg). (Note that your mass in kilograms would never actually change, but your scale is calibrated for Earth and would change its readout.)"
What is the Oort Cloud?,"A vast, distant shell of icy objects surrounding the Solar System","A vast, dense ring of rocky and metallic objects orbiting the Sun between Mars and Jupiter","A massive, spherical cloud of dust and gas that surrounds the entire Milky Way galaxy","A distant collection of icy comets located beyond Neptune’s orbit, also known as the Kuiper Belt.","A vast, distant shell of icy objects surrounding the Solar System","It’s a sphere of perhaps trillions of planetesimals (small rocky or icy bodies) that surround the solar system. Dutch astronomer Jan Oort proposed the idea in 1950. The closest Oort Cloud bodies lie roughly 2,000 astronomical units (AU; 1 astronomical unit is equal to the average Earth-Sun distance of 93 million miles [150 million kilometers]) away. The farthest are 200,000 AU away, three-quarters of the way to the nearest star."
"After the Sun, which star lies closest to earth?",Alpha Carinae,Betelgeuse,Sirius,Alpha Centauri,Alpha Centauri,"Most answers to this question are Alpha Centauri.  While correct in a general sense, Alpha — also known as Rigil Kentaurus — is a triple star. The two brightest components, Alpha Cen A and Alpha Cen B, lie 4.34 light-years away. Alpha Cen C (also called Proxima Centauri), however, is closer, at a distance of 4.24 light-years. Not much, you say? It’s more than 265,000 AU!"
Who first stated that Earth was round and not flat?,Pythagoras,Plato ,Copernicus,Galileo,Plato ,"For many years, scholars thought that the Greek philosopher Pythagoras had come up with this concept. However, no evidence exists for that. The earliest reference we have for a round Earth comes from the Phaedo, a dialogue written between 388 B.C.E. and 367 B.C.E. by the Greek philosopher Plato."
How many craters are on the Moon?,2 million,3 million,2.5 million,3.5 million,2 million,"Recent studies have identified more than 2 million craters on the Moon. Of these, 6,972 have diameters of 12.4 miles (20 km) or larger. It’s estimated that 83,000 craters have diameters greater than 3.1 miles (5 km), and 1.3 million are 0.62 mile (1 km) or larger. However, the surface of our satellite contains only 9,137 craters that are officially recognized and named by the IAU."
Which is the reddest naked-eye star?,Antares,V Hydrae,Aldebaran,Betelgeuse,V Hydrae,"That would be carbon star V Hydrae, a variable star in the constellation Hydra. It normally hovers at 6th magnitude, but can drop to 12th magnitude at the faint end of a 17.5 year cycle. If you look at it through a telescope, defocus the image slightly to make the color more apparent."
Which constellation is largest?,Hydra,Ursa Major,Orion,Virgo,Hydra,"Hydra the Water Snake is the largest constellation. It covers 1,302.84 square degrees, or 3.158 percent, of the sky. The next two largest star patterns are Virgo (1,294.43 square degrees/3.138 percent) and Ursa Major (1,279.66 square degrees/3.102 percent). This trio can be seen in the Northern Hemisphere’s spring sky."
How many chemical elements are in the Sun?,67,57,37,47,67,"Spectral analysis has identified 67 chemical elements in our daytime star. The two most abundant by far are hydrogen (91.2 percent of all atoms) and helium (8.7 percent). Rounding out the top 10 in abundance are oxygen, carbon, nitrogen, silicon, magnesium, neon, iron, and sulfur."
What is a black hole?,A  massive star that has exploded but still shines brightly with intense radiation and light,"The remnant of a star about to explode in a supernova, still holding its shape but unstable.",The collapsed core of a massive star whose gravity is so strong that nothing can escape,"A huge celestial object like a planet with extremely strong gravity, but still allowing light to escape",The collapsed core of a massive star whose gravity is so strong that nothing can escape,"This amazing object is the end product of the largest supernova explosions. (Note I’m talking here about stellar-mass black holes, different from supermassive black holes; see the next question.) As part of the explosion, the star’s core collapses to a point where gravity overwhelms every other force. Nothing — not even light — can escape from a black hole."
Is the Moon moving away from Earth?,"No, the Moon stays at a constant distance from Earth because gravitational forces keep it locked in a stable orbit without change","Yes, but the Moon is moving closer to Earth each year as Earth's gravity pulls it inward more strongly","No, the Moon’s distance fluctuates daily but doesn’t show a long-term increase or decrease in distance.","Yes, the Moon’s distance from Earth increases gradually each year due to tidal forces","Yes, the Moon’s distance from Earth increases gradually each year due to tidal forces","Yes, it is. The Moon’s distance from us is increasing by 1.5 inches (3.8 centimeters) per year. Tides on Earth caused by the Moon are slowing our planet’s rotation. As our planet’s spin slows, the Moon’s speed increases and it moves farther away, to keep the whole system balanced. And here’s some trivia: Because of this increase, in approximately 600 million years, the Moon will appear so small that Earth will no longer experience total solar eclipses."
When will Pluto lie farthest from the Sun?,Pluto has already reached it's farthest point.,Pluto will reach its farthest point in February 2114,"Pluto’s orbit keeps it the same distance from the Sun at all times, never reaching a point that’s farther than usual.",Pluto’s aphelion occurs roughly every century but exact dates are unknown due to its irregular orbit and interactions with Neptune,Pluto will reach its farthest point in February 2114,"In February 2114, Pluto will reach aphelion, its farthest distance from the Sun. At that time, it will lie 49.3 AU away, which is 4.58 billion miles (7.38 billion km). Also at that time, Pluto will be traveling at its slowest orbital speed, approximately 8,280 mph (13,325 km/h)."
